type,sec,sample
pred,429.515625,54978
pred,430.6640625,55125
pred,431.8125,55272
pred,432.1015625,55309
pred,433.046875,55430
pred,433.3359375,55467
pred,434.3515625,55597
pred,435.640625,55762
pred,436.90625,55924
pred,437.203125,55962
pred,438.140625,56082
pred,439.3359375,56235
pred,439.625,56272
pred,440.6484375,56403
pred,441.953125,56570
pred,442.2421875,56607
pred,443.15625,56724
pred,444.2734375,56867
pred,445.34375,57004
pred,445.640625,57042
pred,446.453125,57146
pred,448.0546875,57351
pred,448.34375,57388
pred,449.5078125,57537
pred,449.796875,57574
pred,450.8515625,57709
pred,451.140625,57746
pred,452.171875,57878
pred,452.4609375,57915
pred,453.4140625,58037
pred,454.578125,58186
pred,455.6953125,58329
pred,456.765625,58466
pred,457.890625,58610
pred,459.2265625,58781
pred,459.515625,58818
pred,460.546875,58950
pred,460.828125,58986
pred,461.7890625,59109
pred,463.0078125,59265
pred,464.2265625,59421
pred,465.453125,59578
pred,466.703125,59738
pred,466.9921875,59775
pred,467.8984375,59891
pred,469.046875,60038
pred,470.1484375,60179
pred,470.4375,60216
pred,471.2734375,60323
pred,472.5859375,60491
pred,473.9765625,60669
pred,474.2734375,60707
pred,475.3203125,60841
pred,475.6015625,60877
pred,476.5390625,60997
pred,476.828125,61034
pred,477.75,61152
pred,478.96875,61308
pred,480.203125,61466
pred,480.4921875,61503
pred,481.375,61616
pred,482.5234375,61763
pred,483.7109375,61915
pred,485.0546875,62087
pred,485.34375,62124
pred,486.3671875,62255
pred,486.65625,62292
pred,487.625,62416
pred,488.890625,62578
pred,490.15625,62740
pred,491.4296875,62903
pred,492.6953125,63065
pred,493.9609375,63227
pred,495.2578125,63393
pred,495.5390625,63429
pred,496.546875,63558
pred,497.7109375,63707
pred,498.78125,63844
pred,499.0703125,63881
pred,499.8984375,63987
pred,500.1953125,64025
pred,501.4921875,64191
pred,502.953125,64378
pred,503.2421875,64415
pred,504.296875,64550
pred,504.5859375,64587
pred,505.5234375,64707
pred,505.8203125,64745
pred,506.7578125,64865
pred,507.0390625,64901
pred,508.0,65024
pred,508.2890625,65061
pred,509.2734375,65187
pred,510.5546875,65351
pred,510.8359375,65387
pred,511.84375,65516
pred,512.1328125,65553
pred,513.1171875,65679
pred,514.3984375,65843
pred,514.6875,65880
pred,515.6484375,66003
pred,515.9375,66040
pred,516.8828125,66161
pred,518.0859375,66315
pred,519.3359375,66475
pred,520.6015625,66637
pred,521.890625,66802
pred,523.109375,66958
pred,524.265625,67106
pred,525.3125,67240
pred,526.265625,67362
pred,527.2265625,67485
pred,528.78125,67684
pred,530.0546875,67847
pred,531.1015625,67981
pred,532.09375,68108
pred,533.09375,68236
pred,534.1875,68376
pred,535.1328125,68497
pred,536.0546875,68615
pred,536.34375,68652
pred,537.3359375,68779
pred,538.390625,68914
pred,539.4375,69048
pred,539.7265625,69085
pred,540.46875,69180
pred,540.7578125,69217
pred,541.625,69328
pred,542.8515625,69485
pred,543.9921875,69631
pred,545.0703125,69769
pred,546.1171875,69903
pred,546.40625,69940
pred,547.1171875,70031
pred,548.109375,70158
pred,548.3984375,70195
pred,549.1015625,70285
pred,549.390625,70322
pred,550.15625,70420
pred,550.4375,70456
pred,551.3515625,70573
pred,552.53125,70724
pred,553.65625,70868
pred,554.7109375,71003
pred,555.703125,71130
pred,556.6640625,71253
pred,557.7265625,71389
pred,558.8984375,71539
pred,560.0390625,71685
pred,561.1484375,71827
pred,562.2421875,71967
pred,563.296875,72102
pred,564.296875,72230
pred,565.2734375,72355
pred,565.5703125,72393
pred,566.25,72480
pred,566.5234375,72515
pred,567.2265625,72605
pred,567.515625,72642
pred,568.265625,72738
pred,569.2734375,72867
pred,570.4453125,73017
pred,571.6171875,73167
pred,572.7734375,73315
pred,573.0625,73352
pred,573.921875,73462
pred,574.21875,73500
pred,575.0078125,73601
pred,575.296875,73638
pred,576.0546875,73735
pred,577.09375,73868
pred,578.1484375,74003
pred,579.234375,74142
pred,580.328125,74282
pred,581.421875,74422
pred,582.4765625,74557
pred,583.5078125,74689
pred,583.8046875,74727
pred,584.53125,74820
pred,584.8203125,74857
pred,585.609375,74958
pred,585.8984375,74995
pred,586.8046875,75111
pred,587.1015625,75149
pred,587.9921875,75263
pred,589.171875,75414
pred,590.34375,75564
pred,591.4765625,75709
pred,592.4921875,75839
pred,593.4609375,75963
pred,593.7421875,75999
pred,594.4375,76088
pred,594.71875,76124
pred,595.796875,76262
pred,597.125,76432
pred,598.296875,76582
pred,599.4140625,76725
pred,599.7109375,76763
pred,600.4296875,76855
pred,600.7265625,76893
pred,601.3984375,76979
pred,602.3984375,77107
pred,603.6640625,77269
pred,603.9609375,77307
pred,605.03125,77444
pred,606.2421875,77599
pred,607.453125,77754
pred,607.75,77792
pred,608.59375,77900
